iter	RMSE
0	13.99856214
1	13.10997065
2	12.30451456
3	11.59916536
4	10.90595248
5	10.26494157
6	9.750738493
7	9.312840416
8	8.8796446
9	8.532786453
10	8.182335645
11	7.882818194
12	7.603457112
13	7.340051447
14	7.145126924
15	6.925687011
16	6.729821185
17	6.574712641
18	6.429544716
19	6.286119946
20	6.194106831
21	6.097722067
22	5.99340327
23	5.920625568
24	5.852759869
25	5.783899917
26	5.726060469
27	5.673471383
28	5.633175093
29	5.581517366
30	5.541302212
31	5.499953671
32	5.460715175
33	5.429409372
34	5.408250072
35	5.380035338
36	5.365139195
37	5.349116975
38	5.324610838
39	5.301715275
40	5.276193516
41	5.26281501
42	5.244773944
43	5.228506637
44	5.209844194
45	5.1999175
46	5.183122531
47	5.167004503
48	5.153249402
49	5.135554972
50	5.116621012
51	5.106983532
52	5.09398991
53	5.086094988
54	5.081568979
55	5.073144916
56	5.067309765
57	5.05434215
58	5.040217226
59	5.031327309
60	5.023506028
61	5.00904495
62	4.999994552
63	4.995845294
64	4.990184755
65	4.977158886
66	4.970237398
67	4.966411358
68	4.963068923
69	4.951861709
70	4.948350715
71	4.945096998
72	4.935914811
73	4.930494861
74	4.924697194
75	4.914229673
76	4.90285733
77	4.893471215
78	4.887286554
79	4.881622131
80	4.871752747
81	4.867740651
82	4.862003021
83	4.861533908
84	4.855964451
85	4.852092008
86	4.848483195
87	4.836347651
88	4.83318671
89	4.82684958
90	4.817191546
91	4.800903698
92	4.793294942
93	4.788944614
94	4.786951515
95	4.777676167
96	4.768491859
97	4.753882192
98	4.750799007
99	4.739817513
