iter	Passed	Remaining
0	0	48
1	0	44
2	1	43
3	1	42
4	2	42
5	2	41
6	3	40
7	3	40
8	3	40
9	4	39
10	4	39
11	5	38
12	5	38
13	6	38
14	6	37
15	7	37
16	7	36
17	7	36
18	8	35
19	8	34
20	9	34
21	9	33
22	9	32
23	10	32
24	10	31
25	10	31
26	11	30
27	11	30
28	12	29
29	12	29
30	12	28
31	13	28
32	13	28
33	14	27
34	14	27
35	15	27
36	15	27
37	16	26
38	16	25
39	17	25
40	17	25
41	17	24
42	18	24
43	18	23
44	19	23
45	19	22
46	19	22
47	20	22
48	20	21
49	21	21
50	21	20
51	21	20
52	22	19
53	22	19
54	23	18
55	23	18
56	23	18
57	24	17
58	24	17
59	25	16
60	25	16
61	25	15
62	26	15
63	26	15
64	27	14
65	27	14
66	28	13
67	28	13
68	28	12
69	29	12
70	29	12
71	30	11
72	30	11
73	31	10
74	31	10
75	31	10
76	32	9
77	32	9
78	33	8
79	33	8
80	33	7
81	34	7
82	34	7
83	34	6
84	35	6
85	35	5
86	36	5
87	36	4
88	36	4
89	37	4
90	37	3
91	38	3
92	38	2
93	39	2
94	39	2
95	39	1
96	40	1
97	40	0
98	41	0
99	41	0
