iter	Passed	Remaining
0	55	55474
1	56	28069
2	57	18971
3	57	14392
4	58	11631
5	59	9816
6	59	8508
7	60	7519
8	61	6774
9	62	6206
10	63	5723
11	64	5324
12	65	4971
13	66	4666
14	67	4410
15	68	4188
16	68	3978
17	69	3801
18	70	3639
19	71	3494
20	72	3365
21	72	3241
22	73	3124
23	74	3020
24	75	2929
25	75	2836
26	76	2756
27	77	2677
28	77	2606
29	78	2539
30	79	2477
31	79	2418
32	80	2360
33	81	2313
34	82	2267
35	82	2220
36	83	2178
37	84	2137
38	85	2100
39	86	2064
40	86	2026
41	87	1996
42	88	1970
43	89	1940
44	90	1912
45	90	1884
46	91	1859
47	92	1833
48	93	1808
49	93	1782
50	94	1758
51	95	1733
52	95	1713
53	96	1693
54	97	1671
55	97	1651
56	98	1630
57	99	1613
58	100	1595
59	100	1577
60	101	1559
61	101	1541
62	102	1524
63	103	1507
64	103	1493
65	104	1482
66	105	1468
67	106	1455
68	106	1441
69	107	1427
70	108	1414
71	109	1405
72	109	1393
73	110	1383
74	111	1371
75	111	1359
76	112	1349
77	113	1339
78	113	1328
79	114	1317
80	115	1307
81	115	1298
82	116	1285
83	117	1276
84	117	1267
85	118	1260
86	119	1251
87	120	1243
88	120	1235
89	121	1226
90	121	1218
91	122	1209
92	123	1201
93	123	1193
94	124	1186
95	125	1178
96	125	1171
97	126	1166
98	127	1160
99	128	1156
100	129	1150
101	130	1145
102	130	1139
103	131	1132
104	132	1127
105	133	1122
106	133	1116
107	134	1110
108	135	1104
109	135	1099
110	136	1093
111	137	1088
112	137	1082
113	138	1076
114	139	1070
115	139	1064
116	140	1058
117	140	1052
118	141	1047
119	142	1041
120	142	1036
121	143	1030
122	143	1025
123	144	1021
124	145	1016
125	145	1011
126	146	1005
127	146	1001
128	147	998
129	148	994
130	149	991
131	149	986
132	150	982
133	151	978
134	152	974
135	152	970
136	153	966
137	154	962
138	154	959
139	155	956
140	156	952
141	156	947
142	157	944
143	158	940
144	158	936
145	159	933
146	160	929
147	160	925
148	161	923
149	162	920
150	163	916
151	163	912
152	164	908
153	164	904
154	165	900
155	165	896
156	166	892
157	166	889
158	167	885
159	168	883
160	168	878
161	169	875
162	169	871
163	170	868
164	171	865
165	171	861
166	172	858
167	172	854
168	173	851
169	173	847
